svs_file,y,split,pair_id,COMPOUND_NAME,EXP_ID,GROUP_ID,INDIVIDUAL_ID,file_path,url,max_grade,n_findings,n_findings_spont,dose_level,grade_ord
28079.svs,1,train,E0042-G13-P1,acetaminophen,42,13,4,dataset/wsi/abnormal/28079.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28079.svs,minimal,3,0,Middle,1
70386.svs,0,train,E0042-G14-P0,acetaminophen,42,14,1,dataset/wsi/normal/70386.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/70386.svs,normal,0,0,Middle,0
28096.svs,1,train,E0042-G14-P0,acetaminophen,42,14,3,dataset/wsi/abnormal/28096.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28096.svs,minimal,1,0,Middle,1
28125.svs,0,train,E0042-G15-P0,acetaminophen,42,15,5,dataset/wsi/normal/28125.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28125.svs,normal,0,0,Middle,0
28110.svs,1,train,E0042-G15-P0,acetaminophen,42,15,1,dataset/wsi/abnormal/28110.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28110.svs,minimal,2,0,Middle,1
28128.svs,0,train,E0042-G16-P0,acetaminophen,42,16,1,dataset/wsi/normal/28128.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28128.svs,normal,0,0,Middle,0
28132.svs,1,train,E0042-G16-P0,acetaminophen,42,16,2,dataset/wsi/abnormal/28132.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28132.svs,minimal,1,0,Middle,1
70387.svs,0,train,E0042-G16-P1,acetaminophen,42,16,5,dataset/wsi/normal/70387.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/70387.svs,normal,0,0,Middle,0
28140.svs,1,train,E0042-G16-P1,acetaminophen,42,16,4,dataset/wsi/abnormal/28140.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28140.svs,minimal,1,0,Middle,1
28146.svs,0,train,E0042-G17-P0,acetaminophen,42,17,1,dataset/wsi/normal/28146.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28146.svs,normal,0,0,High,0
28150.svs,1,train,E0042-G17-P0,acetaminophen,42,17,2,dataset/wsi/abnormal/28150.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28150.svs,slight,4,0,High,2
28164.svs,0,train,E0042-G18-P0,acetaminophen,42,18,1,dataset/wsi/normal/28164.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28164.svs,normal,0,0,High,0
28174.svs,1,train,E0042-G18-P0,acetaminophen,42,18,4,dataset/wsi/abnormal/28174.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28174.svs,minimal,2,0,High,1
28168.svs,0,train,E0042-G18-P1,acetaminophen,42,18,2,dataset/wsi/normal/28168.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28168.svs,normal,0,0,High,0
28178.svs,1,train,E0042-G18-P1,acetaminophen,42,18,5,dataset/wsi/abnormal/28178.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28178.svs,minimal,1,0,High,1
28214.svs,0,train,E0042-G20-P0,acetaminophen,42,20,5,dataset/wsi/normal/28214.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28214.svs,normal,0,0,High,0
28199.svs,1,train,E0042-G20-P0,acetaminophen,42,20,1,dataset/wsi/abnormal/28199.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28199.svs,minimal,2,0,High,1
25998.svs,0,train,E0066-G17-P0,carbon tetrachloride,66,17,1,dataset/wsi/normal/25998.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25998.svs,normal,0,0,Middle,0
26001.svs,1,train,E0066-G17-P0,carbon tetrachloride,66,17,2,dataset/wsi/abnormal/26001.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26001.svs,minimal,1,0,Middle,1
26003.svs,0,train,E0066-G17-P1,carbon tetrachloride,66,17,3,dataset/wsi/normal/26003.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26003.svs,normal,0,0,Middle,0
26006.svs,1,train,E0066-G17-P1,carbon tetrachloride,66,17,4,dataset/wsi/abnormal/26006.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26006.svs,minimal,1,0,Middle,1
26126.svs,0,train,E0066-G19-P0,carbon tetrachloride,66,19,2,dataset/wsi/normal/26126.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26126.svs,normal,0,0,Middle,0
26124.svs,1,train,E0066-G19-P0,carbon tetrachloride,66,19,1,dataset/wsi/abnormal/26124.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26124.svs,minimal,1,0,Middle,1
26131.svs,0,train,E0066-G19-P1,carbon tetrachloride,66,19,4,dataset/wsi/normal/26131.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26131.svs,normal,0,0,Middle,0
26129.svs,1,train,E0066-G19-P1,carbon tetrachloride,66,19,3,dataset/wsi/abnormal/26129.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26129.svs,minimal,1,0,Middle,1
25958.svs,0,train,E0066-G21-P0,carbon tetrachloride,66,21,1,dataset/wsi/normal/25958.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25958.svs,normal,0,0,High,0
25961.svs,1,train,E0066-G21-P0,carbon tetrachloride,66,21,2,dataset/wsi/abnormal/25961.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25961.svs,slight,1,0,High,2
25966.svs,0,train,E0066-G21-P1,carbon tetrachloride,66,21,5,dataset/wsi/normal/25966.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25966.svs,normal,0,0,High,0
25962.svs,1,train,E0066-G21-P1,carbon tetrachloride,66,21,3,dataset/wsi/abnormal/25962.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25962.svs,minimal,1,0,High,1
26022.svs,0,train,E0066-G22-P0,carbon tetrachloride,66,22,5,dataset/wsi/normal/26022.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26022.svs,normal,0,0,High,0
26011.svs,1,train,E0066-G22-P0,carbon tetrachloride,66,22,1,dataset/wsi/abnormal/26011.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26011.svs,minimal,2,0,High,1
26083.svs,0,train,E0066-G23-P0,carbon tetrachloride,66,23,5,dataset/wsi/normal/26083.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26083.svs,normal,0,0,High,0
26074.svs,1,train,E0066-G23-P0,carbon tetrachloride,66,23,1,dataset/wsi/abnormal/26074.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26074.svs,minimal,1,0,High,1
25607.svs,0,train,E0093-G09-P0,phenobarbital,93,9,1,dataset/wsi/normal/25607.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25607.svs,normal,0,0,Middle,0
25609.svs,1,train,E0093-G09-P0,phenobarbital,93,9,2,dataset/wsi/abnormal/25609.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25609.svs,minimal,1,0,Middle,1
25611.svs,0,train,E0093-G09-P1,phenobarbital,93,9,3,dataset/wsi/normal/25611.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25611.svs,normal,0,0,Middle,0
25613.svs,1,train,E0093-G09-P1,phenobarbital,93,9,4,dataset/wsi/abnormal/25613.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25613.svs,slight,1,0,Middle,2
4103.svs,0,train,E0094-G11-P0,rifampicin,94,11,1,dataset/wsi/normal/4103.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4103.svs,normal,0,0,Middle,0
4106.svs,1,train,E0094-G11-P0,rifampicin,94,11,4,dataset/wsi/abnormal/4106.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4106.svs,minimal,1,0,Middle,1
4125.svs,0,train,E0094-G15-P0,rifampicin,94,15,3,dataset/wsi/normal/4125.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4125.svs,normal,0,0,High,0
4123.svs,1,train,E0094-G15-P0,rifampicin,94,15,1,dataset/wsi/abnormal/4123.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4123.svs,minimal,1,0,High,1
4131.svs,0,train,E0094-G16-P0,rifampicin,94,16,4,dataset/wsi/normal/4131.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4131.svs,normal,0,0,High,0
4128.svs,1,train,E0094-G16-P0,rifampicin,94,16,1,dataset/wsi/abnormal/4128.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4128.svs,minimal,1,0,High,1
4132.svs,0,train,E0094-G16-P1,rifampicin,94,16,5,dataset/wsi/normal/4132.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4132.svs,normal,0,0,High,0
4129.svs,1,train,E0094-G16-P1,rifampicin,94,16,2,dataset/wsi/abnormal/4129.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4129.svs,minimal,1,0,High,1
25970.svs,0,train,E0095-G15-P0,rifampicin,95,15,1,dataset/wsi/normal/25970.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/25970.svs,normal,0,0,High,0
25975.svs,1,train,E0095-G15-P0,rifampicin,95,15,3,dataset/wsi/abnormal/25975.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/25975.svs,minimal,1,0,High,1
26555.svs,0,train,E0097-G11-P0,phenylbutazone,97,11,2,dataset/wsi/normal/26555.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26555.svs,normal,0,0,Middle,0
26553.svs,1,train,E0097-G11-P0,phenylbutazone,97,11,1,dataset/wsi/abnormal/26553.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26553.svs,minimal,1,0,Middle,1
26558.svs,0,train,E0097-G11-P1,phenylbutazone,97,11,4,dataset/wsi/normal/26558.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26558.svs,normal,0,0,Middle,0
26557.svs,1,train,E0097-G11-P1,phenylbutazone,97,11,3,dataset/wsi/abnormal/26557.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26557.svs,minimal,1,0,Middle,1
26565.svs,0,train,E0097-G12-P0,phenylbutazone,97,12,2,dataset/wsi/normal/26565.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26565.svs,normal,0,0,Middle,0
26562.svs,1,train,E0097-G12-P0,phenylbutazone,97,12,1,dataset/wsi/abnormal/26562.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26562.svs,minimal,1,0,Middle,1
26585.svs,0,train,E0097-G14-P0,phenylbutazone,97,14,2,dataset/wsi/normal/26585.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26585.svs,normal,0,0,High,0
26583.svs,1,train,E0097-G14-P0,phenylbutazone,97,14,1,dataset/wsi/abnormal/26583.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26583.svs,minimal,1,0,High,1
26589.svs,0,train,E0097-G14-P1,phenylbutazone,97,14,4,dataset/wsi/normal/26589.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26589.svs,normal,0,0,High,0
26587.svs,1,train,E0097-G14-P1,phenylbutazone,97,14,3,dataset/wsi/abnormal/26587.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26587.svs,minimal,1,0,High,1
26600.svs,0,train,E0097-G15-P0,phenylbutazone,97,15,5,dataset/wsi/normal/26600.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26600.svs,normal,0,0,High,0
26593.svs,1,train,E0097-G15-P0,phenylbutazone,97,15,1,dataset/wsi/abnormal/26593.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenylbutazone/Liver/26593.svs,minimal,1,0,High,1
4405.svs,0,train,E0102-G10-P0,allyl alcohol,102,10,1,dataset/wsi/normal/4405.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4405.svs,normal,0,0,Middle,0
4406.svs,1,train,E0102-G10-P0,allyl alcohol,102,10,2,dataset/wsi/abnormal/4406.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4406.svs,minimal,1,0,Middle,1
4408.svs,0,train,E0102-G10-P1,allyl alcohol,102,10,4,dataset/wsi/normal/4408.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4408.svs,normal,0,0,Middle,0
4407.svs,1,train,E0102-G10-P1,allyl alcohol,102,10,3,dataset/wsi/abnormal/4407.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4407.svs,minimal,1,0,Middle,1
70450.svs,0,train,E0102-G13-P0,allyl alcohol,102,13,1,dataset/wsi/normal/70450.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/70450.svs,normal,0,0,High,0
4390.svs,1,train,E0102-G13-P0,allyl alcohol,102,13,2,dataset/wsi/abnormal/4390.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4390.svs,minimal,2,0,High,1
4419.svs,0,train,E0102-G14-P0,allyl alcohol,102,14,4,dataset/wsi/normal/4419.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4419.svs,normal,0,0,High,0
4410.svs,1,train,E0102-G14-P0,allyl alcohol,102,14,1,dataset/wsi/abnormal/4410.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4410.svs,minimal,1,0,High,1
4420.svs,0,train,E0102-G14-P1,allyl alcohol,102,14,5,dataset/wsi/normal/4420.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4420.svs,normal,0,0,High,0
70452.svs,1,train,E0102-G14-P1,allyl alcohol,102,14,3,dataset/wsi/abnormal/70452.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/70452.svs,slight,2,0,High,2
4439.svs,0,train,E0102-G15-P0,allyl alcohol,102,15,3,dataset/wsi/normal/4439.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4439.svs,normal,0,0,High,0
4437.svs,1,train,E0102-G15-P0,allyl alcohol,102,15,1,dataset/wsi/abnormal/4437.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4437.svs,minimal,3,1,High,1
4440.svs,0,train,E0102-G15-P1,allyl alcohol,102,15,4,dataset/wsi/normal/4440.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4440.svs,normal,0,0,High,0
4438.svs,1,train,E0102-G15-P1,allyl alcohol,102,15,2,dataset/wsi/abnormal/4438.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4438.svs,minimal,1,0,High,1
4458.svs,0,train,E0102-G16-P0,allyl alcohol,102,16,2,dataset/wsi/normal/4458.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4458.svs,normal,0,0,High,0
4457.svs,1,train,E0102-G16-P0,allyl alcohol,102,16,1,dataset/wsi/abnormal/4457.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4457.svs,minimal,2,1,High,1
4460.svs,0,train,E0102-G16-P1,allyl alcohol,102,16,4,dataset/wsi/normal/4460.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4460.svs,normal,0,0,High,0
4459.svs,1,train,E0102-G16-P1,allyl alcohol,102,16,3,dataset/wsi/abnormal/4459.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/4459.svs,minimal,1,0,High,1
25612.svs,0,train,E0103-G13-P0,allyl alcohol,103,13,1,dataset/wsi/normal/25612.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25612.svs,normal,0,0,High,0
25614.svs,1,train,E0103-G13-P0,allyl alcohol,103,13,2,dataset/wsi/abnormal/25614.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25614.svs,minimal,4,1,High,1
25617.svs,0,train,E0103-G13-P1,allyl alcohol,103,13,3,dataset/wsi/normal/25617.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25617.svs,normal,0,0,High,0
25619.svs,1,train,E0103-G13-P1,allyl alcohol,103,13,4,dataset/wsi/abnormal/25619.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25619.svs,minimal,3,0,High,1
25700.svs,0,train,E0103-G15-P0,allyl alcohol,103,15,2,dataset/wsi/normal/25700.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25700.svs,normal,0,0,High,0
25697.svs,1,train,E0103-G15-P0,allyl alcohol,103,15,1,dataset/wsi/abnormal/25697.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25697.svs,slight,6,0,High,2
25705.svs,0,train,E0103-G15-P1,allyl alcohol,103,15,4,dataset/wsi/normal/25705.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25705.svs,normal,0,0,High,0
25703.svs,1,train,E0103-G15-P1,allyl alcohol,103,15,3,dataset/wsi/abnormal/25703.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25703.svs,slight,7,0,High,2
25760.svs,0,train,E0103-G16-P0,allyl alcohol,103,16,2,dataset/wsi/normal/25760.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25760.svs,normal,0,0,High,0
25757.svs,1,train,E0103-G16-P0,allyl alcohol,103,16,1,dataset/wsi/abnormal/25757.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25757.svs,minimal,2,0,High,1
25763.svs,0,train,E0103-G16-P1,allyl alcohol,103,16,3,dataset/wsi/normal/25763.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25763.svs,normal,0,0,High,0
25766.svs,1,train,E0103-G16-P1,allyl alcohol,103,16,4,dataset/wsi/abnormal/25766.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/allyl_alcohol/Liver/25766.svs,minimal,2,0,High,1
27411.svs,0,train,E0113-G14-P0,indomethacin,113,14,4,dataset/wsi/normal/27411.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27411.svs,normal,0,0,High,0
27408.svs,1,train,E0113-G14-P0,indomethacin,113,14,1,dataset/wsi/abnormal/27408.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27408.svs,moderate,2,0,High,3
27413.svs,0,train,E0113-G14-P1,indomethacin,113,14,5,dataset/wsi/normal/27413.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27413.svs,normal,0,0,High,0
27410.svs,1,train,E0113-G14-P1,indomethacin,113,14,3,dataset/wsi/abnormal/27410.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27410.svs,moderate,2,0,High,3
27416.svs,0,train,E0113-G15-P0,indomethacin,113,15,4,dataset/wsi/normal/27416.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27416.svs,normal,0,0,High,0
27414.svs,1,train,E0113-G15-P0,indomethacin,113,15,1,dataset/wsi/abnormal/27414.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27414.svs,moderate,2,0,High,3
27418.svs,0,train,E0113-G16-P0,indomethacin,113,16,1,dataset/wsi/normal/27418.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27418.svs,normal,0,0,High,0
27419.svs,1,train,E0113-G16-P0,indomethacin,113,16,3,dataset/wsi/abnormal/27419.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/indomethacin/Liver/27419.svs,moderate,3,0,High,3
28715.svs,0,train,E0115-G12-P0,chlorpromazine,115,12,2,dataset/wsi/normal/28715.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/chlorpromazine/Liver/28715.svs,normal,0,0,Middle,0
28713.svs,1,train,E0115-G12-P0,chlorpromazine,115,12,1,dataset/wsi/abnormal/28713.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/chlorpromazine/Liver/28713.svs,minimal,1,0,Middle,1
28716.svs,0,train,E0115-G12-P1,chlorpromazine,115,12,3,dataset/wsi/normal/28716.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/chlorpromazine/Liver/28716.svs,normal,0,0,Middle,0
28718.svs,1,train,E0115-G12-P1,chlorpromazine,115,12,4,dataset/wsi/abnormal/28718.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/chlorpromazine/Liver/28718.svs,minimal,1,0,Middle,1
