svs_file,y,split,pair_id,animal_id,label,COMPOUND_NAME,dose_level,dose_truncated,DOSE,DOSE_UNIT,SACRIFICE_PERIOD,sacrifice_hours,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE_week,n_findings,n_findings_drug,n_findings_spont,max_grade,findings,topographies,grades,sp_flags,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,CAPTURE_NO,url,FILE_LOCATION,dup_grade_conflict
28075.svs,0,,E0042-G13-P1,E0042-G13-I3,normal,acetaminophen,Middle,0,600,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,42,13,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28075.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28075.svs,0
28079.svs,1,,E0042-G13-P1,E0042-G13-I4,abnormal,acetaminophen,Middle,0,600,mg/kg,4 day,96,Repeat,Gavage,6,3,3,0,minimal,"Cellular infiltration; Change, eosinophilic; Increased mitosis",Centrilobular; Centrilobular; Centrilobular,minimal; minimal; minimal,false; false; false,42,13,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28079.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28079.svs,0
70386.svs,0,,E0042-G14-P0,E0042-G14-I1,normal,acetaminophen,Middle,0,600,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,42,14,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/70386.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/70386.svs,0
28096.svs,1,,E0042-G14-P0,E0042-G14-I3,abnormal,acetaminophen,Middle,0,600,mg/kg,8 day,192,Repeat,Gavage,6,1,1,0,minimal,Cellular infiltration,Centrilobular,minimal,false,42,14,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28096.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28096.svs,0
28110.svs,1,,E0042-G15-P0,E0042-G15-I1,abnormal,acetaminophen,Middle,0,600,mg/kg,15 day,360,Repeat,Gavage,6,2,2,0,minimal,Cellular infiltration; Ground glass appearance,Centrilobular; Centrilobular,minimal; minimal,false; false,42,15,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28110.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28110.svs,0
28125.svs,0,,E0042-G15-P0,E0042-G15-I5,normal,acetaminophen,Middle,0,600,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,42,15,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28125.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28125.svs,0
28128.svs,0,,E0042-G16-P0,E0042-G16-I1,normal,acetaminophen,Middle,0,600,mg/kg,29 day,696,Repeat,Gavage,6,0,0,0,,,,,,42,16,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28128.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28128.svs,0
28132.svs,1,,E0042-G16-P0,E0042-G16-I2,abnormal,acetaminophen,Middle,0,600,mg/kg,29 day,696,Repeat,Gavage,6,1,1,0,minimal,Ground glass appearance,Centrilobular,minimal,false,42,16,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28132.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28132.svs,0
28140.svs,1,,E0042-G16-P1,E0042-G16-I4,abnormal,acetaminophen,Middle,0,600,mg/kg,29 day,696,Repeat,Gavage,6,1,1,0,minimal,Ground glass appearance,Centrilobular,minimal,false,42,16,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28140.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28140.svs,0
70387.svs,0,,E0042-G16-P1,E0042-G16-I5,normal,acetaminophen,Middle,0,600,mg/kg,29 day,696,Repeat,Gavage,6,0,0,0,,,,,,42,16,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/70387.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/70387.svs,0
28146.svs,0,,E0042-G17-P0,E0042-G17-I1,normal,acetaminophen,High,0,1000,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,42,17,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28146.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28146.svs,0
28150.svs,1,,E0042-G17-P0,E0042-G17-I2,abnormal,acetaminophen,High,0,1000,mg/kg,4 day,96,Repeat,Gavage,6,4,4,0,slight,"Cellular infiltration; Change, eosinophilic; Increased mitosis; Necrosis",Centrilobular; Centrilobular; Centrilobular; Centrilobular,minimal; slight; minimal; minimal,false; false; false; false,42,17,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28150.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28150.svs,0
28164.svs,0,,E0042-G18-P0,E0042-G18-I1,normal,acetaminophen,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,42,18,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28164.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28164.svs,0
28168.svs,0,,E0042-G18-P1,E0042-G18-I2,normal,acetaminophen,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,42,18,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28168.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28168.svs,0
28174.svs,1,,E0042-G18-P0,E0042-G18-I4,abnormal,acetaminophen,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,2,2,0,minimal,Cellular infiltration; Necrosis,Centrilobular; Centrilobular,minimal; minimal,false; false,42,18,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28174.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28174.svs,0
28178.svs,1,,E0042-G18-P1,E0042-G18-I5,abnormal,acetaminophen,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,1,1,0,minimal,Cellular infiltration,Centrilobular,minimal,false,42,18,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28178.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28178.svs,0
28199.svs,1,,E0042-G20-P0,E0042-G20-I1,abnormal,acetaminophen,High,0,1000,mg/kg,29 day,696,Repeat,Gavage,6,2,2,0,minimal,Ground glass appearance; Swelling,Centrilobular; Centrilobular,minimal; minimal,false; false,42,20,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28199.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28199.svs,0
28214.svs,0,,E0042-G20-P0,E0042-G20-I5,normal,acetaminophen,High,0,1000,mg/kg,29 day,696,Repeat,Gavage,6,0,0,0,,,,,,42,20,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28214.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/acetaminophen/Liver/28214.svs,0
25998.svs,0,,E0066-G17-P0,E0066-G17-I1,normal,carbon tetrachloride,Middle,0,100,mg/kg,6 hr,6,Single,Gavage,6,0,0,0,,,,,,66,17,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25998.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25998.svs,0
26001.svs,1,,E0066-G17-P0,E0066-G17-I2,abnormal,carbon tetrachloride,Middle,0,100,mg/kg,6 hr,6,Single,Gavage,6,1,1,0,minimal,"Degeneration, hydropic",Centrilobular,minimal,false,66,17,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26001.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26001.svs,0
26003.svs,0,,E0066-G17-P1,E0066-G17-I3,normal,carbon tetrachloride,Middle,0,100,mg/kg,6 hr,6,Single,Gavage,6,0,0,0,,,,,,66,17,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26003.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26003.svs,0
26006.svs,1,,E0066-G17-P1,E0066-G17-I4,abnormal,carbon tetrachloride,Middle,0,100,mg/kg,6 hr,6,Single,Gavage,6,1,1,0,minimal,"Degeneration, hydropic",Centrilobular,minimal,false,66,17,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26006.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26006.svs,0
26124.svs,1,,E0066-G19-P0,E0066-G19-I1,abnormal,carbon tetrachloride,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,minimal,"Degeneration, fatty",Centrilobular,minimal,false,66,19,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26124.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26124.svs,0
26126.svs,0,,E0066-G19-P0,E0066-G19-I2,normal,carbon tetrachloride,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,66,19,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26126.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26126.svs,0
26129.svs,1,,E0066-G19-P1,E0066-G19-I3,abnormal,carbon tetrachloride,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,minimal,"Degeneration, fatty",Centrilobular,minimal,false,66,19,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26129.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26129.svs,0
26131.svs,0,,E0066-G19-P1,E0066-G19-I4,normal,carbon tetrachloride,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,66,19,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26131.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26131.svs,0
25958.svs,0,,E0066-G21-P0,E0066-G21-I1,normal,carbon tetrachloride,High,0,300,mg/kg,3 hr,3,Single,Gavage,6,0,0,0,,,,,,66,21,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25958.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25958.svs,0
25961.svs,1,,E0066-G21-P0,E0066-G21-I2,abnormal,carbon tetrachloride,High,0,300,mg/kg,3 hr,3,Single,Gavage,6,1,1,0,slight,"Degeneration, hydropic",Centrilobular,slight,false,66,21,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25961.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25961.svs,0
25962.svs,1,,E0066-G21-P1,E0066-G21-I3,abnormal,carbon tetrachloride,High,0,300,mg/kg,3 hr,3,Single,Gavage,6,1,1,0,minimal,"Degeneration, hydropic",Centrilobular,minimal,false,66,21,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25962.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25962.svs,0
25966.svs,0,,E0066-G21-P1,E0066-G21-I5,normal,carbon tetrachloride,High,0,300,mg/kg,3 hr,3,Single,Gavage,6,0,0,0,,,,,,66,21,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25966.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/25966.svs,0
26011.svs,1,,E0066-G22-P0,E0066-G22-I1,abnormal,carbon tetrachloride,High,0,300,mg/kg,6 hr,6,Single,Gavage,6,2,2,0,minimal,"Cellular infiltration; Degeneration, hydropic",Centrilobular; Centrilobular,minimal; minimal,false; false,66,22,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26011.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26011.svs,0
26022.svs,0,,E0066-G22-P0,E0066-G22-I5,normal,carbon tetrachloride,High,0,300,mg/kg,6 hr,6,Single,Gavage,6,0,0,0,,,,,,66,22,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26022.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26022.svs,0
26074.svs,1,,E0066-G23-P0,E0066-G23-I1,abnormal,carbon tetrachloride,High,0,300,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Degeneration, hydropic",Centrilobular,minimal,false,66,23,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26074.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26074.svs,0
26083.svs,0,,E0066-G23-P0,E0066-G23-I5,normal,carbon tetrachloride,High,0,300,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,66,23,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26083.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/carbon_tetrachloride/Liver/26083.svs,0
25607.svs,0,,E0093-G09-P0,E0093-G09-I1,normal,phenobarbital,Middle,0,30,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,93,9,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25607.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25607.svs,0
25609.svs,1,,E0093-G09-P0,E0093-G09-I2,abnormal,phenobarbital,Middle,0,30,mg/kg,4 day,96,Repeat,Gavage,6,1,1,0,minimal,Hypertrophy,Centrilobular,minimal,false,93,9,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25609.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25609.svs,0
25611.svs,0,,E0093-G09-P1,E0093-G09-I3,normal,phenobarbital,Middle,0,30,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,93,9,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25611.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25611.svs,0
25613.svs,1,,E0093-G09-P1,E0093-G09-I4,abnormal,phenobarbital,Middle,0,30,mg/kg,4 day,96,Repeat,Gavage,6,1,1,0,slight,Increased mitosis,-,slight,false,93,9,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25613.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/phenobarbital/Liver/25613.svs,0
4103.svs,0,,E0094-G11-P0,E0094-G11-I1,normal,rifampicin,Middle,0,60,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,94,11,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4103.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4103.svs,0
4106.svs,1,,E0094-G11-P0,E0094-G11-I4,abnormal,rifampicin,Middle,0,60,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Vacuolization, cytoplasmic",Midlobular,minimal,false,94,11,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4106.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4106.svs,0
4123.svs,1,,E0094-G15-P0,E0094-G15-I1,abnormal,rifampicin,High,0,200,mg/kg,9 hr,9,Single,Gavage,6,1,1,0,minimal,"Vacuolization, cytoplasmic",Midlobular,minimal,false,94,15,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4123.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4123.svs,0
4125.svs,0,,E0094-G15-P0,E0094-G15-I3,normal,rifampicin,High,0,200,mg/kg,9 hr,9,Single,Gavage,6,0,0,0,,,,,,94,15,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4125.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4125.svs,0
4128.svs,1,,E0094-G16-P0,E0094-G16-I1,abnormal,rifampicin,High,0,200,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,minimal,"Vacuolization, cytoplasmic",Midlobular,minimal,false,94,16,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4128.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4128.svs,0
4129.svs,1,,E0094-G16-P1,E0094-G16-I2,abnormal,rifampicin,High,0,200,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,minimal,"Vacuolization, cytoplasmic",Midlobular,minimal,false,94,16,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4129.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4129.svs,0
4131.svs,0,,E0094-G16-P0,E0094-G16-I4,normal,rifampicin,High,0,200,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,94,16,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4131.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4131.svs,0
4132.svs,0,,E0094-G16-P1,E0094-G16-I5,normal,rifampicin,High,0,200,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,94,16,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4132.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/4132.svs,0
25970.svs,0,,E0095-G15-P0,E0095-G15-I1,normal,rifampicin,High,0,200,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,95,15,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/25970.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/25970.svs,0
25975.svs,1,,E0095-G15-P0,E0095-G15-I3,abnormal,rifampicin,High,0,200,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,minimal,Hypertrophy,Centrilobular,minimal,false,95,15,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/25975.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/rifampicin/Liver/25975.svs,0
