svs_file,label,width,height,AppMag,mpp_x,mpp_y,vendor,n_levels,resize_to_20x,approx_patches_20x
31650.svs,abnormal,37847,43173,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24696
31662.svs,abnormal,37847,42176,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24108
31800.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
31812.svs,abnormal,29879,35462,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,16008
31817.svs,abnormal,61751,41811,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,39283
31828.svs,abnormal,61751,35741,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,33499
31952.svs,abnormal,57767,42731,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,37350
31990.svs,abnormal,61751,41062,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,38560
32000.svs,abnormal,59759,41397,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,37513
32021.svs,abnormal,59759,41147,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,37280
32079.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
32170.svs,abnormal,45815,45042,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,31150
32178.svs,abnormal,33863,39598,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,20328
32265.svs,abnormal,61751,28422,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,26751
32327.svs,abnormal,67727,33156,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34056
32332.svs,abnormal,71711,35809,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,38920
32588.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
32594.svs,abnormal,33863,42664,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,21912
33012.svs,abnormal,51791,29766,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23432
33017.svs,abnormal,55775,34084,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,28861
33064.svs,abnormal,51791,31763,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25048
33068.svs,abnormal,53783,31428,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25620
33075.svs,abnormal,55775,37660,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,31899
33077.svs,abnormal,51791,34423,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27068
33079.svs,abnormal,53783,34087,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27930
33358.svs,abnormal,47807,33845,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24552
33366.svs,abnormal,47807,31268,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,22692
33387.svs,abnormal,49799,34010,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25608
33393.svs,abnormal,51791,33924,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,26664
33460.svs,abnormal,31871,35108,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,16988
33472.svs,abnormal,37847,39644,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22638
33655.svs,abnormal,49799,29021,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,21922
33659.svs,abnormal,47807,31186,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,22506
33685.svs,abnormal,47807,31934,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23064
33923.svs,abnormal,43823,31522,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,21033
33928.svs,abnormal,47807,34843,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25296
33935.svs,abnormal,43823,32023,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,21375
33942.svs,abnormal,41831,29197,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,18582
33945.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
33986.svs,abnormal,37847,35450,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,20286
34012.svs,abnormal,29879,35778,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,16124
34234.svs,abnormal,49799,33177,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,25026
34237.svs,abnormal,55775,34915,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29512
34263.svs,abnormal,45815,33764,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,23318
34360.svs,abnormal,33863,31695,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,16236
34369.svs,abnormal,29879,24805,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,11136
34787.svs,abnormal,29879,28299,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,12760
34835.svs,abnormal,31871,30209,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14632
35000.svs,abnormal,49799,33067,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,25026
35151.svs,abnormal,33863,30955,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,15840
35175.svs,abnormal,37847,27789,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,15876
35196.svs,abnormal,35855,27044,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14700
35207.svs,abnormal,33863,28875,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14784
35212.svs,abnormal,35855,25047,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,13580
35345.svs,abnormal,43823,33137,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22059
35346.svs,abnormal,51791,37648,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,29694
35347.svs,abnormal,47807,38243,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,27714
35353.svs,abnormal,41831,29278,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,18582
35358.svs,abnormal,105575,45937,20,0.49619999999999997,0.49619999999999997,aperio,4,1.0,73748
35369.svs,abnormal,39839,28810,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,17360
35733.svs,abnormal,33863,34862,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,17952
35984.svs,abnormal,33863,27960,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14388
35993.svs,abnormal,33863,32035,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,16500
36094.svs,abnormal,31871,27048,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,13020
36111.svs,abnormal,33863,30871,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,15840
36200.svs,abnormal,35855,30710,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,16660
36206.svs,abnormal,33863,29535,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,15180
36297.svs,abnormal,33863,28313,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,14520
36434.svs,abnormal,29879,25722,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,11600
36443.svs,abnormal,31871,30043,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14508
36658.svs,abnormal,49799,34348,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,25996
36665.svs,abnormal,55775,31881,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,26908
36695.svs,abnormal,49799,29678,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22310
36938.svs,abnormal,31871,29045,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14012
36947.svs,abnormal,33863,33947,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,17424
37058.svs,abnormal,47807,30993,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22506
37061.svs,abnormal,45815,32462,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22428
37093.svs,abnormal,47807,31158,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22506
37101.svs,abnormal,45815,31020,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,21538
37107.svs,abnormal,43823,33446,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,22230
37656.svs,abnormal,31871,31704,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,15252
37670.svs,abnormal,35855,34112,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,18620
37679.svs,abnormal,29879,32705,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,14732
37683.svs,abnormal,35855,34861,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,19040
37707.svs,abnormal,33863,31454,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,16104
37711.svs,abnormal,33863,35194,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,18084
37735.svs,abnormal,31871,27299,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,13144
37744.svs,abnormal,35855,35857,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,19600
38209.svs,abnormal,43823,22894,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,15219
38213.svs,abnormal,43823,26513,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,17613
38566.svs,abnormal,41831,24773,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,15648
38569.svs,abnormal,35855,35858,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,19600
38579.svs,abnormal,49799,31852,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,24056
38583.svs,abnormal,35855,33446,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,18200
38586.svs,abnormal,53783,35440,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,28980
38613.svs,abnormal,25895,32377,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,12726
38628.svs,abnormal,31871,37111,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,17856
40594.svs,abnormal,57767,32419,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,28350
40618.svs,abnormal,57767,35245,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,30825
40620.svs,abnormal,51791,34011,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,26664
40627.svs,abnormal,53783,35765,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,29190
40629.svs,abnormal,63743,44601,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,43152
4106.svs,abnormal,55788,27564,20,0.49840000000000001,0.49840000000000001,aperio,3,1.0,23219
4123.svs,abnormal,57781,35376,20,0.49840000000000001,0.49840000000000001,aperio,3,1.0,31050
4128.svs,abnormal,55788,29741,20,0.49840000000000001,0.49840000000000001,aperio,3,1.0,25172
4129.svs,abnormal,59773,33455,20,0.49840000000000001,0.49840000000000001,aperio,3,1.0,30290
41385.svs,abnormal,63743,30830,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29760
41392.svs,abnormal,61751,30834,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,28920
41398.svs,abnormal,63743,34325,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,33232
41403.svs,abnormal,59759,27427,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,24931
41408.svs,abnormal,57767,29924,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,26100
41416.svs,abnormal,59759,29921,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27028
41430.svs,abnormal,61751,30586,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,28679
41432.svs,abnormal,61751,31085,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,29161
41779.svs,abnormal,67727,32074,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,33000
41781.svs,abnormal,69719,32321,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34272
41788.svs,abnormal,69719,33152,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,35088
41793.svs,abnormal,67727,32488,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,33264
41833.svs,abnormal,69719,32070,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34000
41847.svs,abnormal,69719,33152,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,35088
41858.svs,abnormal,69719,33817,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,35904
42447.svs,abnormal,67727,32407,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,33264
42460.svs,abnormal,69719,30074,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,31824
42528.svs,abnormal,65735,29831,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,29696
42531.svs,abnormal,61751,29255,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,27474
42535.svs,abnormal,69719,32488,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34272
42966.svs,abnormal,41831,36708,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,23309
42976.svs,abnormal,37847,30052,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,17199
43811.svs,abnormal,67727,34234,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,35112
43840.svs,abnormal,67727,29247,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,30096
43853.svs,abnormal,69719,30575,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,32368
4390.svs,abnormal,103607,45238,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,71104
4406.svs,abnormal,81690,45238,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,56144
4407.svs,abnormal,73720,45238,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,50512
4410.svs,abnormal,65751,45238,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,45056
44134.svs,abnormal,59759,37306,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33785
44233.svs,abnormal,59759,36355,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,33086
4437.svs,abnormal,103607,45238,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,71104
4438.svs,abnormal,69736,42292,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,44880
44399.svs,abnormal,73703,37968,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,42476
44415.svs,abnormal,63743,35489,20,0.49159999999999998,0.49159999999999998,aperio,3,1.0,34224
44436.svs,abnormal,69719,32985,20,0.49159999999999998,0.49159999999999998,aperio,4,1.0,34816
4457.svs,abnormal,77705,45238,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,53328
4459.svs,abnormal,65751,37938,20,0.49840000000000001,0.49840000000000001,aperio,4,1.0,37888
44811.svs,abnormal,59759,34096,20,0.49619999999999997,0.49619999999999997,aperio,3,1.0,30989
